station_id,street_name,station_lat,station_lon,borough
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,Manhattan
295,Pike St & E Broadway,40.71406667,-73.99293911,Manhattan
296,Division St & Bowery,40.71413089,-73.9970468,Manhattan
297,E 15 St & 3 Ave,40.734232,-73.986923,Manhattan
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,Brooklyn
302,Avenue D & E 3 St,40.72082834,-73.97793172,Manhattan
303,Mercer St & Spring St,40.72362738,-73.99949601,Manhattan
304,Broadway & Battery Pl,40.70463334,-74.01361706,Manhattan
305,E 58 St & 3 Ave,40.76095756,-73.96724467,Manhattan
308,St James Pl & Oliver St,40.71307916,-73.99851193,Manhattan
309,Murray St & West St,40.7149787,-74.013012,Manhattan
310,State St & Smith St,40.68926942,-73.98912867,Brooklyn
311,Norfolk St & Broome St,40.7172274,-73.98802084,Manhattan
312,Allen St & Stanton St,40.722055,-73.989111,Manhattan
313,Washington Ave & Park Ave,40.69610226,-73.96751037,Brooklyn
314,Cadman Plaza West & Montague St,40.69383,-73.990539,Brooklyn
315,South St & Gouverneur Ln,40.70355377,-74.00670227,Manhattan
316,Fulton St & William St,40.70955958,-74.00653609,Manhattan
317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan
319,Fulton St & Broadway,40.711066,-74.009447,Manhattan
320,Leonard St & Church St,40.717571,-74.005549,Manhattan
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,Brooklyn
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,Brooklyn
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,Brooklyn
325,E 19 St & 3 Ave,40.73624527,-73.98473765,Manhattan
326,E 11 St & 1 Ave,40.72953837,-73.98426726,Manhattan
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,Manhattan
328,Watts St & Greenwich St,40.72405549,-74.00965965,Manhattan
330,Reade St & Broadway,40.71450451,-74.00562789,Manhattan
331,Pike St & Monroe St,40.71173107,-73.99193043,Manhattan
332,Cherry St,40.71219906,-73.97948148,Manhattan
334,W 20 St & 7 Ave,40.74238787,-73.99726235,Manhattan
335,Washington Pl & Broadway,40.72903917,-73.99404649,Manhattan
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,Manhattan
339,Avenue D & E 12 St,40.72580614,-73.97422494,Manhattan
340,Madison St & Clinton St,40.71269042,-73.98776323,Manhattan
341,Stanton St & Mangin St,40.71782143,-73.97628939,Manhattan
342,Columbia St & Rivington St,40.71739973,-73.98016555,Manhattan
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,Brooklyn
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,Brooklyn
346,Bank St & Hudson St,40.73652889,-74.00618026,Manhattan
347,Greenwich St & W Houston St,40.728846,-74.008591,Manhattan
349,Rivington St & Ridge St,40.71850211,-73.98329859,Manhattan
351,Front St & Maiden Ln,40.70530954,-74.00612572,Manhattan
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,Brooklyn
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,Brooklyn
355,Bayard St & Baxter St,40.71602118,-73.99974372,Manhattan
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Manhattan
360,William St & Pine St,40.70717936,-74.00887308,Manhattan
361,Allen St & Hester St,40.71605866,-73.99190759,Manhattan
362,Broadway & W 37 St,40.75172632,-73.98753523,Manhattan
363,West Thames St,40.70834698,-74.01713445,Manhattan
